"","Inbred","Slope_PHK76","Slope_PHP02","Slope_PHZ51","Intercept_PHK76","Intercept_PHP02","Intercept_PHZ51"
"50","W10004_0212",-1.16533143986805,1.63076319241087,3.15163118967922,1.0306453703827,-2.47701900777504,-2.52626323582892
"51","W10004_0213",-1.13825561792215,2.2492754244589,-2.62965894024718,0.559749934609124,-2.13828138849459,1.68640766787523
"52","W10004_0220",0.681820918779111,1.87508187395629,-2.9895088059121,-0.922052062713413,-1.28251117150057,2.79492016085084
"53","W10004_0223",-0.237362426018615,0.651423344094661,1.79664096788225,-0.0924571539163878,-1.15466992937844,-1.00125164676008
"54","W10004_0224",0.54607216510337,-0.034167576056453,-1.50701117685979,0.287263914759925,0.44283512533461,0.262442888599945
"55","W10004_0225",2.45654235919534,0.227023319403527,1.52479956612685,-1.36287256940765,1.59990625177698,-1.22826218885204
"56","W10004_0227",0.692343986501762,0.110240957567045,4.41633956709972,-0.694484408883533,-0.506503789552727,-4.17796611736517
"57","W10004_0231",1.15051450186794,-0.580155017158267,0.00233195011887566,-2.03862006568067,-1.20943232203841,-0.762450107354815
"58","W10004_0254",-0.327974277574449,-0.161175997711639,-0.975760428986477,-0.586191519529308,0.142969412802187,0.210734938035676
"59","W10004_0258",-0.868121710647769,-0.888851224871762,-2.55171172104813,0.373961150284994,1.21083606417716,2.93139831385408
"60","W10004_0261",1.35941643315776,0.515319451513044,3.30660090169383,-0.275294040789295,-1.04617315903872,-2.33919715496733
"61","W10004_0262",0.793910466893292,-0.123059881473778,-1.06197193460391,-1.46410340969336,-0.235999010498107,1.09497721913133
"62","W10004_0264",0.778534708201361,1.03226702802706,-0.989497283641581,-2.1770212272124,-2.52813501869165,-0.216600282733861
"63","W10004_0268",-1.99166951708844,1.35619491137415,0.27738951542596,2.3204241817976,-0.81863928750667,-0.43075558907737
"64","W10004_0276",-1.8881551371509,-0.52920016381203,-1.42445788812406,2.73949582490992,0.733489130410877,1.28519141557201
"65","W10004_0292",0.880832808070598,0.252634745089311,1.39447451000934,-2.06773886342226,-1.08297312445497,-1.47707285777562
"66","W10004_0299",-2.90956968921724,-1.15699417252894,1.92583355980688,2.85154906221959,1.81969365472643,-0.093348873628301
